station_id,name,address,lat,lon,is_virtual_station,capacity,points_of_interests,public_tansport,nearest_beach,distance_to_beach_m,rent_num,depo_num,night_rent_num,morning_rent_num,afternoon_rent_num,evening_rent_num,rent_num_right,bilans
4007,GDA179,Twarda 21,54.3742427,18.6310134,true,10,0,2,Plaza Brzezno - Molo,4398.0804829880935,8475,8264,746,2138,4974,748,8475,-211
4008,GDA180,"Aleja Grunwaldzka 19/23, 80-236 Gdańsk",54.37618037663131,18.614230389256306,true,10,1,3,Plaza Brzezno - Molo,4214.137642876493,15372,14777,872,4458,7848,2437,15372,-595
4009,GDA181,"Aleja Grunwaldzka 30/32C, 80-229 Gdańsk",54.375647771204,18.614252353285906,true,16,3,2,Plaza Brzezno - Molo,4272.418764131734,11687,11423,789,3465,5808,1856,11687,-264
4010,GDA182,"Aleja Grunwaldzka 16, 80-236 Gdańsk",54.3751631,18.6177496,true,10,3,1,Plaza Brzezno - Molo,4296.984686561616,3785,3565,146,1196,1957,571,3785,-220
4011,GDA183,"Bohaterów Getta Warszawskiego 8, 80-230 Gdańsk",54.37324948344809,18.615901015799068,true,10,1,0,Plaza Brzezno - Molo,4521.803522781029,7931,8253,482,2732,4508,484,7931,322
4012,GDA184,"Gabriela Narutowicza 11, 80-233 Gdańsk",54.3725143,18.6202129,true,10,1,0,Plaza Brzezno - Molo,4577.820463948908,5781,5702,169,2043,3290,438,5781,-79
4013,GDA185,"Trubadurów 6e, 80-205 Gdańsk",54.3732583,18.6256751,true,10,3,1,Plaza Brzezno - Molo,4487.616733558704,6305,5499,633,2029,2841,935,6305,-806
4014,GDA186,"Aleja Zwycięstwa 15, 80-219 Gdańsk",54.3720981,18.6257255,true,10,4,3,Plaza Brzezno - Molo,4616.662866420247,10352,9942,492,3009,4796,2177,10352,-410
4015,GDA187,"Do Studzienki 32, 80-227 Gdańsk",54.3700074,18.6106885,true,10,3,1,Plaza Brzezno - Molo,4929.452259450039,9443,9572,943,2834,3984,1871,9443,129
4016,GDA188,"Traugutta 81, 80-221 Gdańsk",54.3704346,18.6160961,true,10,2,0,Plaza Brzezno - Molo,4831.181545668011,4546,4631,217,1377,2763,314,4546,85
4017,GDA189,"Jana III Sobieskiego 13, 80-216 Gdańsk",54.36708554791048,18.612813819287794,true,10,1,2,Plaza Brzezno - Molo,5227.75849778029,6031,5857,484,2205,2640,842,6031,-174
4018,GDA190,"Mariana Smoluchowskiego 16, 80-214 Gdańsk",54.3665723,18.6201621,true,10,1,2,Plaza Brzezno - Molo,5237.681932422263,7930,7759,314,2985,4406,385,7930,-171
4019,GDA191,"Traugutta 1, 80-221 Gdańsk",54.368406,18.6299202,true,10,1,3,Plaza Brzezno - Molo,5038.96239190218,9359,8938,855,3230,4417,1022,9359,-421
4020,GDA192,"Dębinki 7B, 80-211 Gdańsk",54.366357,18.6266482,true,10,4,1,Plaza Brzezno - Molo,5256.23861703852,9117,8990,340,3735,4810,383,9117,-127
