station_id,name,address,lat,lon,capacity,points_of_interests,public_tansport,nearest_beach,distance_to_beach_m,rent_num,depo_num,night_rent_num,morning_rent_num,afternoon_rent_num,evening_rent_num,bilans,total_activity,turnover_rate,morning_ratio,evening_ratio,afternoon_ratio
3899,GDA071,"Jantarowa 21, 80-341 Gdańsk",54.4133677,18.6238331,10,1,0,Plaza Brzezno - Molo,47.6248451951817,36804,34453,781,7917,19625,8689,-2351,71257,7125.7,0.21511248777306816,0.23608846864471253,0.5332300836865558
3900,GDA072,"Aleja Generała Józefa Hallera 277, 80-502 Gdańsk",54.4112302,18.6290499,10,4,0,Plaza Brzezno - Molo,398.76078423723015,24214,24915,522,5534,13533,4750,701,49129,4912.9,0.22854546956306268,0.19616750640125546,0.5588915503427769
3901,GDA073,"Aleja Generała Józefa Hallera 247C, 80-502 Gdańsk",54.4080708,18.6272554,10,0,1,Plaza Brzezno - Molo,642.3115988108698,5901,6030,361,1967,2686,942,129,11931,1193.1,0.3333333333333333,0.15963396034570412,0.45517708862904593
3902,GDA074,"Emilii Plater 14B, 80-522 Gdańsk",54.4063345,18.6319209,10,0,0,Plaza Brzezno - Molo,942.7860746987728,3549,3568,562,1392,1273,371,19,7117,711.7,0.39222316145393066,0.10453648915187377,0.35869258946182025
3903,GDA075,"Aleja Generała Józefa Hallera 233, 80-502 Gdańsk",54.4045861,18.6247778,10,0,3,Plaza Brzezno - Molo,1003.6500017589308,12726,13687,902,4272,5877,1842,961,26413,2641.3,0.3356907119283357,0.14474304573314475,0.4618104667609618
3904,GDA076,"Dworska 29, 80-506 Gdańsk",54.4041138,18.6283289,10,2,1,Plaza Brzezno - Molo,1085.5066760888528,4983,5011,651,2036,1811,566,28,9994,999.4,0.40858920329119003,0.11358619305639173,0.363435681316476
3905,GDA077,"Gdańska 20, 80-518 Gdańsk",54.4041728,18.6332361,10,0,2,Plaza Brzezno - Molo,1193.8213538374084,4549,4466,408,1632,1817,729,-83,9015,901.5,0.35876016706968566,0.16025500109914267,0.39942844581226644
3906,GDA078,"Konstantego Ildefonsa Gałczyńskiego 2, 80-524 Gdańsk",54.4067217,18.6385696,10,3,4,Plaza Brzezno - Molo,1192.7877240566788,13888,14082,723,3683,6752,2832,194,27970,2797,0.2651929723502304,0.20391705069124424,0.4861751152073733
3907,GDA079,"Ksawerego Dunikowskiego 17A, 80-524 Gdańsk",54.4050012,18.643718,10,2,0,Plaza Brzezno - Molo,1572.499618848573,4105,3940,307,1388,1961,494,-165,8045,804.5,0.33812423873325215,0.12034104750304507,0.47771010962241167
3908,GDA080,"Łozy 17I, 80-516 Gdańsk",54.4030383,18.6392604,10,0,0,Plaza Brzezno - Molo,1517.1522177892757,2025,2028,352,833,638,230,3,4053,405.3,0.411358024691358,0.11358024691358025,0.31506172839506175
3909,GDA081,"Wyzwolenia 7A, 80-537 Gdańsk",54.4030109,18.655441,10,1,1,Plaza Brzezno - Molo,2326.822055123735,3154,2947,148,1201,1432,425,-207,6101,610.1,0.3807863031071655,0.13474952441344323,0.4540266328471782
3910,GDA082,"Wyzwolenia 28, 80-537 Gdańsk",54.4002698,18.6614674,10,1,2,Plaza Brzezno - Molo,2818.3037696909996,5676,5788,566,1975,2427,785,112,11464,1146.4,0.34795630725863286,0.1383016208597604,0.4275898520084567
3911,GDA083,"Wolności 8, 80-538 Gdańsk",54.3994049,18.6693607,10,2,3,Plaza Brzezno - Molo,3308.600308589508,4230,4584,320,1333,1987,635,354,8814,881.4,0.31513002364066195,0.15011820330969267,0.46973995271867613
3912,GDA084,"Ks. Mariana Góreckiego 3, 80-544 Gdańsk",54.4008559,18.671317,10,2,1,Plaza Brzezno - Molo,3348.886073115877,3752,2731,173,1345,1922,361,-1021,6483,648.3,0.35847547974413646,0.09621535181236673,0.5122601279317697
3913,GDA085,"Starowiejska 17, 80-534 Gdańsk",54.3890595,18.6495517,10,0,0,Plaza Brzezno - Molo,3177.1445443232133,7225,6817,759,2082,3253,1273,-408,14042,1404.2,0.28816608996539794,0.17619377162629757,0.450242214532872
3914,GDA086,"Pokoleń Lechii Gdańsk 1, 80-560 Gdańsk",54.3906251,18.6428542,10,1,0,Plaza Brzezno - Molo,2820.0527725533057,4110,3915,191,1210,2013,843,-195,8025,802.5,0.2944038929440389,0.20510948905109488,0.4897810218978102
3915,GDA087,"Żaglowa 11, 80-560 Gdańsk",54.38635802401379,18.636422356431808,500,1,0,Plaza Brzezno - Molo,3127.9662751900837,6621,6297,170,1439,3899,1222,-324,12918,25.836,0.21733877057846246,0.18456426521673464,0.5888838544026582
3916,GDA088,"Narwicka 2G, 80-557 Gdańsk",54.3823482,18.6378922,10,0,2,Plaza Brzezno - Molo,3583.5627659077218,6821,6388,365,1289,4487,805,-433,13209,1320.9,0.18897522357425597,0.11801788594047793,0.6578214338073596
3917,GDA089,"Czarny Dwór 18, 80-365 Gdańsk",54.4076244,18.6148341,10,1,1,Plaza Brzezno - Molo,910.7103244687944,11571,11091,564,3112,5886,2130,-480,22662,2266.2,0.268948232650592,0.18408089188488463,0.5086855068706249
3918,GDA090,"Jelitkowski Dwór 17, 80-365 Gdańsk",54.4073669,18.6101659,10,0,0,Plaza Brzezno - Molo,1155.4921255304046,5121,4997,593,1775,2220,611,-124,10118,1011.8,0.34661198984573327,0.11931263425112283,0.43350908025776214
3919,GDA091,"Kołobrzeska 56A, 80-394 Gdańsk",54.4066122,18.6059394,10,1,1,Plaza Brzezno - Molo,1427.8780934320905,8002,7887,1090,2578,3333,1201,-115,15889,1588.9,0.32216945763559113,0.15008747813046738,0.41652086978255437
3920,GDA092,"Olsztyńska 2b, 80-395 Gdańsk",54.404969,18.6044096,10,3,0,Plaza Brzezno - Molo,1613.532023157493,6165,6057,656,2217,2607,853,-108,12222,1222.2,0.3596107055961071,0.1383617193836172,0.42287104622871047
3921,GDA093,"Kołobrzeska 42A, 80-391 Gdańsk",54.4048229,18.5969398,10,0,2,Plaza Brzezno - Molo,2030.243905857802,7562,7505,914,2382,3460,956,-57,15067,1506.7,0.3149960327955567,0.12642158159217137,0.45755091245702195
3922,GDA094,"Aleja Rzeczypospolitej 25, 80-463 Gdańsk",54.4000381,18.5954995,10,0,4,Plaza Brzezno - Molo,2405.3112053092254,4187,3937,772,1341,1525,625,-250,8124,812.4,0.32027704800573203,0.14927155481251492,0.3642225937425364
3923,GDA095,"Aleja Jana Pawła II 25C, 80-462 Gdańsk",54.4045064,18.6123297,10,1,1,Plaza Brzezno - Molo,1280.1990549615225,4551,4388,517,1302,2052,770,-163,8939,893.9,0.2860909690177983,0.16919358382773017,0.45088991430454844
3924,GDA096,"Janusza Meissnera 4, 80-462 Gdańsk",54.3999566,18.6064973,10,1,1,Plaza Brzezno - Molo,1911.3702876825353,7532,7317,774,2680,3227,1004,-215,14849,1484.9,0.35581518852894317,0.1332979288369623,0.4284386617100372
3925,GDA097,"Aleja Jana Pawła II 3b, 80-462 Gdańsk",54.397234,18.6045205,10,0,0,Plaza Brzezno - Molo,2231.102662508421,5908,5684,593,1922,2557,944,-224,11592,1159.2,0.32532159783344616,0.15978334461746785,0.4328029790115098
3926,GDA098,"Aleja Jana Pawła II 1e, 80-462 Gdańsk",54.3970874,18.5978985,10,0,2,Plaza Brzezno - Molo,2515.1924322806694,5954,5821,710,1769,2467,1125,-133,11775,1177.5,0.297111185757474,0.18894860597917368,0.4143432986227746
3927,GDA099,"aleja Jana Pawła II 48, 80-462 Gdańsk",54.4025041,18.6108344,10,2,0,Plaza Brzezno - Molo,1516.6795102247852,5993,5854,453,2277,2651,779,-139,11847,1184.7,0.3799432671450025,0.12998498247955947,0.4423494076422493
3928,GDA100,"Zbigniewa Burzyńskiego 1, 80-462 Gdańsk",54.399374,18.607348000000002,10,1,0,Plaza Brzezno - Molo,1931.1706971366011,5731,5542,737,1822,2582,747,-189,11273,1127.3,0.31792008375501657,0.13034374454719944,0.4505321933344966
3929,GDA101,"Zbigniewa Burzyńskiego 6H, 80-462 Gdańsk",54.3957092,18.603511,10,0,0,Plaza Brzezno - Molo,2407.662976755741,9504,9443,1209,2799,4157,1555,-61,18947,1894.7,0.29450757575757575,0.16361531986531985,0.43739478114478114
